	V	I
	kv	A
15	-0.88	0.0064
15.04	-0.88	0.0056
15.08	-0.8	0.0072
15.12	-0.8	0.0096
15.16	-0.8	0.004
15.2	-0.8	0.0056
15.24	-0.72	0.008
15.28	-0.72	0.0096
15.32	-0.8	0.0048
15.36	-0.72	0.0016
15.4	-0.72	0.0016
15.44	-0.72	0.004
15.48	-0.88	0.0056
15.52	-0.8	0.0064
15.56	-0.8	0.004
15.6	-0.8	0.0032
15.64	-0.88	0.0032
15.68	-0.8	-0.0088
15.72	-0.8	-0.0024
15.76	-0.8	0.0064
15.8	-0.8	0.0128
15.84	-0.88	0.0072
15.88	-0.88	0.0024
15.92	-0.8	-0.0032
15.96	-0.88	-0.004
16	-0.8	0.0016
16.04	-0.96	0.0056
16.08	-0.8	0.0048
16.12	-0.96	0.0016
16.16	-0.96	-0.0032
16.2	-0.8	-0.0024
16.24	-0.8	0.0016
16.28	-0.88	0.0032
16.32	-0.88	0.0024
16.36	-0.96	8E-4
16.4	-0.88	-0.0016
16.44	-0.88	-0.0024
16.48	-0.88	-0.0016
16.52	-0.96	-8E-4
16.56	-0.8	-8E-4
16.6	-0.88	-8E-4
16.64	-0.88	-0.0016
16.68	-0.8	-0.0016
16.72	-0.88	-0.0024
16.76	-0.8	8E-4
16.8	-0.8	-0.0016
16.84	-0.8	-0.0032
16.88	-0.88	-0.0032
16.92	-0.88	-0.0048
16.96	-0.88	-0.0032
17	-0.8	-0.0024
17.04	-0.8	-0.0024
17.08	-0.72	-0.004
17.12	-0.88	-0.004
17.16	-0.8	-0.004
17.2	-0.8	-0.0048
17.24	-0.8	-0.004
17.28	-0.88	-0.004
17.32	-0.8	-0.0048
17.36	-0.64	-0.0048
17.4	-0.64	-0.0056
17.44	-0.8	-0.0056
17.48	-0.72	-0.0048
17.52	-0.8	-0.004
17.56	-0.8	-0.0048
17.6	-0.72	-0.0056
17.64	-0.72	-0.0056
17.68	-0.64	-0.0064
17.72	-0.72	-0.0064
17.76	-0.64	-0.0064
17.8	-0.64	-0.0056
17.84	-0.64	-0.0064
17.88	-0.56	-0.0072
17.92	-0.72	-0.0072
17.96	-0.72	-0.008
18	-0.64	-0.0072
18.04	-0.64	-0.0072
18.08	-0.56	-0.0072
18.12	-0.56	-0.0088
18.16	-0.56	-0.0096
18.2	-0.56	-0.0088
18.24	-0.48	-0.008
18.28	-0.48	-0.0072
18.32	-0.4	-0.008
18.36	-0.56	-0.0072
18.4	-0.48	-0.0088
18.44	-0.4	-0.0096
18.48	-0.48	-0.0088
18.52	-0.4	-0.0096
18.56	-0.48	-0.0088
18.6	-0.48	-0.0096
18.64	-0.4	-0.0088
18.68	-0.4	-0.0104
18.72	-0.4	-0.0104
18.76	-0.4	-0.0104
18.8	-0.48	-0.0104
18.84	-0.32	-0.0088
18.88	-0.4	-0.0096
18.92	-0.32	-0.0104
18.96	-0.32	-0.0104
19	-0.4	-0.0104
19.04	-0.32	-0.0096
19.08	-0.32	-0.0104
19.12	-0.24	-0.0096
19.16	-0.24	-0.0104
19.2	-0.16	-0.0104
19.24	-0.16	-0.0104
19.28	-0.24	-0.0112
19.32	-0.08	-0.0096
19.36	-0.16	-0.0104
19.4	-0.08	-0.0104
19.44	-0.08	-0.0104
19.48	0	-0.0112
19.52	-0.08	-0.0112
19.56	0	-0.0112
19.6	0	-0.0104
19.64	0	-0.0112
19.68	-0.08	-0.0096
19.72	-0.08	-0.0112
19.76	0	-0.012
19.8	0	-0.0104
19.84	0	-0.012
19.88	0	-0.0112
19.92	0.08	-0.0096
19.96	0.16	-0.0104
20	0.08	-0.012
20.04	0.16	-0.012
20.08	0.16	-0.0112
20.12	0.16	-0.012
20.16	0.32	-0.0104
20.2	0.16	-0.0104
20.24	0.08	-0.0104
20.28	0.16	-0.0104
20.32	0.16	-0.0112
20.36	0.24	-0.0112
20.4	0.24	-0.0104
20.44	0.24	-0.0104
20.48	0.24	-0.0104
20.52	0.32	-0.0104
20.56	0.4	-0.0104
20.6	0.4	-0.0112
20.64	0.32	-0.0104
20.68	0.48	-0.0104
20.72	0.32	-0.0096
20.76	0.4	-0.0104
20.8	0.4	-0.0104
20.84	0.4	-0.0104
20.88	0.4	-0.0112
20.92	0.56	-0.0096
20.96	0.56	-0.0104
21	0.48	-0.0088
21.04	0.56	-0.0096
21.08	0.56	-0.0104
21.12	0.48	-0.0096
21.16	0.56	-0.0096
21.2	0.56	-0.0088
21.24	0.56	-0.0088
21.28	0.56	-0.0088
21.32	0.64	-0.0088
21.36	0.64	-0.0088
21.4	0.56	-0.0088
21.44	0.64	-0.008
21.48	0.64	-0.008
21.52	0.64	-0.008
21.56	0.64	-0.008
21.6	0.64	-0.0072
21.64	0.72	-0.0072
21.68	0.64	-0.008
21.72	0.64	-0.008
21.76	0.8	-0.0064
21.8	0.72	-0.008
21.84	0.8	-0.0072
21.88	0.8	-0.0072
21.92	0.8	-0.0072
21.96	0.88	-0.0064
22	0.8	-0.0072
22.04	0.8	-0.0056
22.08	0.88	-0.0056
22.12	0.8	-0.0072
22.16	0.72	-0.0064
22.2	0.8	-0.0072
22.24	0.96	-0.0048
22.28	0.88	-0.0056
22.32	0.72	-0.0048
22.36	0.88	-0.0048
22.4	0.88	-0.004
22.44	0.96	-0.004
22.48	0.96	-0.0048
22.52	0.8	-0.004
22.56	0.88	-0.0048
22.6	0.96	-0.0032
22.64	0.8	-0.0032
22.68	0.96	-0.0032
22.72	0.88	-0.004
22.76	0.88	-0.004
22.8	0.88	-0.0016
22.84	0.88	-0.0032
22.88	0.96	-0.0024
22.92	0.96	-0.0024
22.96	0.88	-0.0024
23	1.04	-0.0024
23.04	0.96	-0.0024
23.08	0.88	-8E-4
23.12	0.96	-0.0016
23.16	0.96	-0.0016
23.2	0.96	-0.0016
23.24	1.04	-8E-4
23.28	0.96	0
23.32	0.96	0
23.36	0.96	0
23.4	0.96	-8E-4
23.44	0.96	0
23.48	0.88	8E-4
23.52	0.96	0
23.56	0.96	0.0016
23.6	0.96	0
23.64	1.04	0.0016
23.68	0.8	0
23.72	1.04	0.0016
23.76	0.96	0.0016
23.8	0.96	8E-4
23.84	0.88	0.0016
23.88	0.88	0.0032
23.92	1.04	0.0032
23.96	0.88	0.0016
24	0.96	0.0032
24.04	0.88	0.0024
24.08	0.88	0.0024
24.12	0.88	0.004
24.16	0.96	0.004
24.2	0.72	0.0032
24.24	0.8	0.004
24.28	0.8	0.004
24.32	0.88	0.004
24.36	0.8	0.0032
24.4	0.88	0.0056
24.44	0.8	0.004
24.48	0.8	0.0048
24.52	0.72	0.0048
24.56	0.88	0.0048
24.6	0.88	0.0064
24.64	0.72	0.0048
24.68	0.8	0.0064
24.72	0.8	0.0048
24.76	0.8	0.0056
24.8	0.72	0.0064
24.84	0.72	0.0048
24.88	0.8	0.0072
24.92	0.72	0.0056
24.96	0.8	0.0072
25	0.8	0.0072
25.04	0.64	0.0056
25.08	0.64	0.0064
25.12	0.72	0.0064
25.16	0.64	0.0072
25.2	0.64	0.0072
25.24	0.56	0.0072
25.28	0.64	0.008
25.32	0.64	0.0072
25.36	0.64	0.008
25.4	0.64	0.0072
25.44	0.64	0.008
25.48	0.56	0.0088
25.52	0.48	0.008
25.56	0.48	0.008
25.6	0.64	0.008
25.64	0.48	0.0088
25.68	0.48	0.0088
25.72	0.4	0.0096
25.76	0.48	0.0088
25.8	0.56	0.008
25.84	0.4	0.0088
25.88	0.4	0.008
25.92	0.48	0.0088
25.96	0.32	0.0088
26	0.32	0.0104
26.04	0.4	0.0088
26.08	0.4	0.008
26.12	0.32	0.0088
26.16	0.32	0.0088
26.2	0.32	0.0096
26.24	0.32	0.0104
26.28	0.24	0.0096
26.32	0.32	0.0096
26.36	0.24	0.0088
26.4	0.16	0.0096
26.44	0.16	0.0096
26.48	0.08	0.0104
26.52	0.16	0.0096
26.56	0.24	0.0104
26.6	0.16	0.0088
26.64	0.24	0.0088
26.68	0.24	0.0096
26.72	0.08	0.0096
26.76	0.16	0.0104
26.8	0.08	0.0096
26.84	0	0.0096
26.88	0	0.0104
26.92	0	0.0088
26.96	0	0.0088
27	-0.08	0.0096
27.04	-0.08	0.0104
27.08	-0.08	0.0088
27.12	0	0.0096
27.16	-0.08	0.0096
27.2	-0.08	0.0096
27.24	-0.16	0.0088
27.28	-0.16	0.0088
27.32	-0.08	0.0096
27.36	-0.16	0.0088
27.4	-0.16	0.008
27.44	-0.24	0.008
27.48	-0.24	0.0096
27.52	-0.08	0.0096
27.56	-0.24	0.0088
27.6	-0.24	0.0096
27.64	-0.32	0.008
27.68	-0.24	0.0088
27.72	-0.24	0.0088
27.76	-0.32	0.008
27.8	-0.32	0.0088
27.84	-0.32	0.0088
27.88	-0.24	0.0096
27.92	-0.4	0.008
27.96	-0.32	0.0072
28	-0.4	0.0072
28.04	-0.32	0.008
28.08	-0.4	0.0088
28.12	-0.4	0.008
28.16	-0.64	0.008
28.2	-0.4	0.0064
28.24	-0.56	0.0072
28.28	-0.48	0.0064
28.32	-0.32	0.0072
28.36	-0.48	0.0072
28.4	-0.56	0.0072
28.44	-0.64	0.0064
28.48	-0.48	0.0064
28.52	-0.48	0.0064
28.56	-0.56	0.0064
28.6	-0.64	0.0056
28.64	-0.64	0.0072
28.68	-0.56	0.0056
28.72	-0.64	0.0056
28.76	-0.64	0.0056
28.8	-0.64	0.0048
28.84	-0.72	0.0056
28.88	-0.56	0.0056
28.92	-0.64	0.0048
28.96	-0.64	0.0056
29	-0.64	0.004
29.04	-0.64	0.004
29.08	-0.72	0.0032
29.12	-0.72	0.0048
29.16	-0.72	0.0048
29.2	-0.72	0.0032
29.24	-0.64	0.004
29.28	-0.72	0.0024
29.32	-0.72	0.0024
29.36	-0.72	0.004
29.4	-0.64	0.004
29.44	-0.8	0.004
29.48	-0.8	0.0032
29.52	-0.8	0.0032
29.56	-0.8	0.0016
29.6	-0.8	0.0016
29.64	-0.8	0.0016
29.68	-0.8	0.0016
29.72	-0.72	8E-4
29.76	-0.64	0.0016
29.8	-0.8	8E-4
29.84	-0.8	0
29.88	-0.8	8E-4
29.92	-0.88	8E-4
29.96	-0.8	0.0016
30	-0.8	0.0016
30.04	-0.8	-8E-4
30.08	-0.88	0
30.12	-0.8	-8E-4
30.16	-0.72	0
30.2	-0.64	0
30.24	-0.88	0
30.28	-0.8	-8E-4
30.32	-0.72	-8E-4
30.36	-0.72	-0.0016
30.4	-0.8	-0.0016
30.44	-0.8	-8E-4
30.48	-0.72	-0.0032
30.52	-0.72	-8E-4
30.56	-0.8	-0.0032
30.6	-0.72	-0.0024
30.64	-0.8	-0.0032
30.68	-0.8	-0.0032
30.72	-0.72	-0.0024
30.76	-0.72	-0.0032
30.8	-0.8	-0.0032
30.84	-0.8	-0.0032
30.88	-0.8	-0.004
30.92	-0.72	-0.0048
30.96	-0.72	-0.0048
31	-0.8	-0.0032
31.04	-0.64	-0.0056
31.08	-0.64	-0.0048
31.12	-0.72	-0.0048
31.16	-0.64	-0.0056
31.2	-0.64	-0.0048
31.24	-0.64	-0.004
31.28	-0.72	-0.0048
31.32	-0.8	-0.0056
31.36	-0.56	-0.0064
31.4	-0.64	-0.0064
31.44	-0.64	-0.0056
31.48	-0.56	-0.0056
31.52	-0.56	-0.0064
31.56	-0.64	-0.0048
31.6	-0.64	-0.0072
31.64	-0.56	-0.0072
31.68	-0.64	-0.0072
31.72	-0.64	-0.0072
31.76	-0.56	-0.0064
31.8	-0.56	-0.0072
31.84	-0.56	-0.0064
31.88	-0.56	-0.008
31.92	-0.56	-0.008
31.96	-0.48	-0.008
32	-0.48	-0.008
32.04	-0.48	-0.0072
32.08	-0.48	-0.0072
32.12	-0.56	-0.0088
32.16	-0.48	-0.008
32.2	-0.48	-0.0096
32.24	-0.4	-0.0096
32.28	-0.4	-0.0096
32.32	-0.48	-0.0088
32.36	-0.48	-0.0096
32.4	-0.4	-0.0096
32.44	-0.4	-0.0088
32.48	-0.4	-0.0096
32.52	-0.32	-0.0096
32.56	-0.4	-0.0096
32.6	-0.32	-0.0096
32.64	-0.16	-0.0096
32.68	-0.24	-0.0096
32.72	-0.24	-0.0104
32.76	-0.32	-0.0104
32.8	-0.32	-0.0096
32.84	-0.24	-0.0104
32.88	-0.24	-0.0088
32.92	-0.16	-0.0104
32.96	-0.16	-0.0112
33	-0.16	-0.0104
33.04	-0.08	-0.0096
33.08	-0.08	-0.0096
33.12	-0.08	-0.0104
33.16	-0.16	-0.0096
33.2	-0.08	-0.0104
33.24	-0.08	-0.0112
33.28	0	-0.0112
33.32	0	-0.0096
33.36	0	-0.0096
33.4	0	-0.0096
33.44	-0.08	-0.0096
33.48	0	-0.0096
33.52	0.08	-0.0112
33.56	0.08	-0.0104
33.6	0	-0.0112
33.64	0	-0.0104
33.68	0.08	-0.0112
33.72	0.16	-0.0104
33.76	0.08	-0.0104
33.8	0.16	-0.012
33.84	0.08	-0.0104
33.88	0.16	-0.0104
33.92	0.16	-0.0096
33.96	0.32	-0.0112
34	0.16	-0.0112
34.04	0.16	-0.0104
34.08	0.24	-0.0112
34.12	0.24	-0.0104
34.16	0.32	-0.0088
34.2	0.32	-0.0088
34.24	0.24	-0.0104
34.28	0.4	-0.0104
34.32	0.24	-0.0096
34.36	0.32	-0.0104
34.4	0.4	-0.0088
34.44	0.4	-0.0112
34.48	0.32	-0.0088
34.52	0.4	-0.0096
34.56	0.4	-0.0088
34.6	0.4	-0.0096
34.64	0.4	-0.0096
34.68	0.4	-0.0088
34.72	0.56	-0.0088
34.76	0.4	-0.0088
34.8	0.56	-0.0088
34.84	0.56	-0.0104
34.88	0.56	-0.0088
34.92	0.48	-0.0088
34.96	0.56	-0.008
35	0.56	-0.008
35.04	0.56	-0.008
35.08	0.56	-0.008
35.12	0.64	-0.0096
35.16	0.64	-0.0088
35.2	0.64	-0.008
35.24	0.64	-0.008
35.28	0.64	-0.008
35.32	0.64	-0.008
35.36	0.72	-0.008
35.4	0.8	-0.0072
35.44	0.72	-0.0072
35.48	0.72	-0.008
35.52	0.72	-0.0064
35.56	0.56	-0.0072
35.6	0.72	-0.0064
35.64	0.72	-0.0064
35.68	0.8	-0.0064
35.72	0.8	-0.0056
35.76	0.8	-0.0056
35.8	0.8	-0.004
35.84	0.72	-0.0064
35.88	0.8	-0.0064
35.92	0.8	-0.0056
35.96	0.72	-0.0056
36	0.88	-0.0048
36.04	0.8	-0.0048
36.08	0.8	-0.0048
36.12	0.8	-0.0048
36.16	0.8	-0.0048
36.2	0.8	-0.0048
36.24	0.96	-0.0048
36.28	0.8	-0.004
36.32	0.88	-0.0048
36.36	0.8	-0.004
36.4	0.88	-0.0032
36.44	0.88	-0.0032
36.48	0.88	-0.0024
36.52	0.96	-0.004
36.56	0.8	-0.0024
36.6	0.88	-0.0032
36.64	0.96	-0.0024
36.68	0.88	-0.0016
36.72	0.8	-0.0024
36.76	0.88	-0.0016
36.8	0.88	-0.0024
36.84	0.88	-8E-4
36.88	0.88	-0.0016
36.92	0.88	-0.0024
36.96	0.88	-0.0016
37	0.96	-0.0016
37.04	0.96	0
37.08	0.88	8E-4
37.12	0.96	-8E-4
37.16	0.96	0
37.2	0.96	0
37.24	0.88	0
37.28	0.88	8E-4
37.32	0.96	8E-4
37.36	0.88	8E-4
37.4	0.88	0.0016
37.44	0.88	0.0016
37.48	0.96	8E-4
37.52	0.88	8E-4
37.56	0.88	0.0024
37.6	0.88	0.0024
37.64	0.96	0.0016
37.68	0.96	0.0024
37.72	0.8	0.0016
37.76	0.88	0.0024
37.8	0.88	0.0032
37.84	0.8	0.0032
37.88	0.88	0.0032
37.92	0.88	0.0024
37.96	0.8	0.0024
38	0.72	0.0032
38.04	0.8	0.0032
38.08	0.88	0.0048
38.12	0.8	0.0048
38.16	0.72	0.0056
38.2	0.88	0.004
38.24	0.88	0.0048
38.28	0.8	0.0048
38.32	0.64	0.004
38.36	0.72	0.0056
38.4	0.8	0.0048
38.44	0.72	0.0056
38.48	0.72	0.0048
38.52	0.72	0.0056
38.56	0.72	0.0064
38.6	0.72	0.0048
38.64	0.72	0.0064
38.68	0.64	0.0056
38.72	0.56	0.0064
38.76	0.64	0.0056
38.8	0.64	0.0056
38.84	0.56	0.0064
38.88	0.72	0.0064
38.92	0.56	0.008
38.96	0.56	0.0064
39	0.64	0.0072
39.04	0.56	0.008
39.08	0.64	0.0064
39.12	0.56	0.0072
39.16	0.56	0.008
39.2	0.48	0.008
39.24	0.56	0.0072
39.28	0.56	0.008
39.32	0.56	0.0072
39.36	0.56	0.008
39.4	0.48	0.0088
39.44	0.48	0.008
39.48	0.4	0.0096
39.52	0.4	0.0072
39.56	0.48	0.0088
39.6	0.4	0.0088
39.64	0.32	0.008
39.68	0.32	0.0096
39.72	0.4	0.0088
39.76	0.4	0.0096
39.8	0.32	0.008
39.84	0.32	0.0088
39.88	0.32	0.0096
39.92	0.32	0.0088
39.96	0.32	0.0096
40	0.32	0.0088
40.04	0.16	0.0088
40.08	0.24	0.0088
40.12	0.24	0.0088
40.16	0.16	0.0088
40.2	0.16	0.0088
40.24	0.08	0.0096
40.28	0.08	0.0088
40.32	0.08	0.0088
40.36	0.08	0.0088
40.4	0.08	0.0088
40.44	0.08	0.0096
40.48	0	0.008
40.52	0.08	0.0104
40.56	0.08	0.0096
40.6	0	0.0096
40.64	-0.08	0.0096
40.68	0	0.0088
40.72	0.08	0.0088
40.76	0	0.0088
40.8	0	0.0096
40.84	-0.08	0.0088
40.88	-0.16	0.0088
40.92	-0.16	0.0088
40.96	-0.08	0.0088
41	-0.08	0.0096
41.04	-0.16	0.0096
41.08	-0.16	0.008
41.12	-0.16	0.0088
41.16	-0.16	0.008
41.2	-0.16	0.008
41.24	-0.08	0.008
41.28	-0.24	0.0088
41.32	-0.32	0.0088
41.36	-0.24	0.0088
41.4	-0.32	0.008
41.44	-0.32	0.008
41.48	-0.32	0.0072
41.52	-0.32	0.0072
41.56	-0.32	0.008
41.6	-0.32	0.0072
41.64	-0.32	0.008
41.68	-0.32	0.0072
41.72	-0.4	0.0072
41.76	-0.4	0.0072
41.8	-0.4	0.0072
41.84	-0.4	0.008
41.88	-0.48	0.0072
41.92	-0.48	0.0064
41.96	-0.48	0.0064
42	-0.4	0.0064
42.04	-0.48	0.0072
42.08	-0.48	0.0072
42.12	-0.48	0.0064
42.16	-0.4	0.0064
42.2	-0.4	0.0064
42.24	-0.56	0.0064
42.28	-0.48	0.0064
42.32	-0.64	0.0064
42.36	-0.64	0.0048
42.4	-0.48	0.0056
42.44	-0.48	0.0048
42.48	-0.48	0.0048
42.52	-0.64	0.0048
42.56	-0.64	0.0048
42.6	-0.64	0.0056
42.64	-0.64	0.0048
42.68	-0.72	0.004
42.72	-0.56	0.004
42.76	-0.64	0.004
42.8	-0.64	0.004
42.84	-0.72	0.004
42.88	-0.64	0.0048
42.92	-0.72	0.0032
42.96	-0.64	0.0032
43	-0.72	0.004
43.04	-0.72	0.0032
43.08	-0.64	0.0032
43.12	-0.72	0.0032
43.16	-0.72	0.0024
43.2	-0.72	0.0024
43.24	-0.64	0.0016
43.28	-0.72	0.0024
43.32	-0.72	0.0024
43.36	-0.64	0.0016
43.4	-0.72	8E-4
43.44	-0.64	0.0016
43.48	-0.72	8E-4
43.52	-0.64	8E-4
43.56	-0.72	8E-4
43.6	-0.8	0
43.64	-0.8	8E-4
43.68	-0.8	8E-4
43.72	-0.72	8E-4
43.76	-0.72	0
43.8	-0.72	-8E-4
43.84	-0.72	-8E-4
43.88	-0.88	-8E-4
43.92	-0.72	-8E-4
43.96	-0.8	-8E-4
44	-0.88	-8E-4
44.04	-0.8	-0.0016
44.08	-0.72	-0.0016
44.12	-0.72	-0.0016
44.16	-0.72	-0.0024
44.2	-0.8	-0.0024
44.24	-0.8	-0.0016
44.28	-0.88	-0.0016
44.32	-0.72	-0.0024
44.36	-0.8	-0.0024
44.4	-0.72	-0.0024
44.44	-0.72	-0.0032
44.48	-0.72	-0.0016
44.52	-0.64	-0.0024
44.56	-0.72	-0.0032
44.6	-0.72	-0.0032
44.64	-0.64	-0.0032
44.68	-0.72	-0.0032
44.72	-0.64	-0.004
44.76	-0.64	-0.004
44.8	-0.64	-0.004
44.84	-0.8	-0.0056
44.88	-0.72	-0.0048
44.92	-0.64	-0.004
44.96	-0.64	-0.0048
45	-0.64	-0.0048
45.04	-0.72	-0.0056
45.08	-0.56	-0.0048
45.12	-0.64	-0.0064
45.16	-0.64	-0.0056
45.2	-0.56	-0.0056
45.24	-0.48	-0.0064
45.28	-0.56	-0.0056
45.32	-0.56	-0.0056
45.36	-0.56	-0.0064
45.4	-0.56	-0.0064
45.44	-0.56	-0.0072
45.48	-0.56	-0.0072
45.52	-0.48	-0.0072
45.56	-0.48	-0.0072
45.6	-0.4	-0.0072
45.64	-0.56	-0.0072
45.68	-0.56	-0.008
45.72	-0.48	-0.0072
45.76	-0.48	-0.008
45.8	-0.48	-0.008
45.84	-0.4	-0.008
45.88	-0.48	-0.008
45.92	-0.4	-0.008
45.96	-0.48	-0.0088
46	-0.24	-0.0072
46.04	-0.32	-0.0072
46.08	-0.32	-0.008
46.12	-0.4	-0.0096
46.16	-0.32	-0.0096
46.2	-0.32	-0.008
46.24	-0.32	-0.0088
46.28	-0.4	-0.008
46.32	-0.32	-0.0096
46.36	-0.32	-0.008
46.4	-0.32	-0.0096
46.44	-0.16	-0.0096
46.48	-0.32	-0.0104
46.52	-0.24	-0.0096
46.56	-0.16	-0.008
46.6	-0.24	-0.0096
46.64	-0.24	-0.0096
46.68	-0.24	-0.0096
46.72	-0.16	-0.0104
46.76	-0.24	-0.0096
46.8	-0.16	-0.0096
46.84	-0.16	-0.0088
46.88	-0.08	-0.0112
46.92	-0.08	-0.0104
46.96	-0.08	-0.0096
47	-0.08	-0.0104
47.04	0	-0.0104
47.08	0.08	-0.0096
47.12	-0.08	-0.0104
47.16	0	-0.0104
47.2	0	-0.0104
47.24	0	-0.0104
47.28	0.08	-0.0104
47.32	0.08	-0.0096
47.36	0.08	-0.0112
47.4	0.08	-0.0088
47.44	0	-0.0088
47.48	0.24	-0.0096
47.52	0.16	-0.0096
47.56	0.16	-0.0096
47.6	0.16	-0.0088
47.64	0.24	-0.0096
47.68	0.16	-0.0088
47.72	0.24	-0.0104
47.76	0.24	-0.0096
47.8	0.24	-0.0096
47.84	0.16	-0.0104
47.88	0.32	-0.008
47.92	0.24	-0.0096
47.96	0.32	-0.0104
48	0.24	-0.0096
48.04	0.32	-0.0096
48.08	0.32	-0.0104
48.12	0.48	-0.0088
48.16	0.32	-0.0088
48.2	0.32	-0.0096
48.24	0.32	-0.0088
48.28	0.4	-0.0096
48.32	0.4	-0.0088
48.36	0.48	-0.0088
48.4	0.48	-0.0096
48.44	0.4	-0.008
48.48	0.4	-0.0088
48.52	0.48	-0.0096
48.56	0.4	-0.008
48.6	0.4	-0.0096
48.64	0.64	-0.008
48.68	0.56	-0.0088
48.72	0.48	-0.008
48.76	0.56	-0.008
48.8	0.56	-0.008
48.84	0.64	-0.008
48.88	0.56	-0.0088
48.92	0.64	-0.008
48.96	0.64	-0.0072
49	0.64	-0.0072
49.04	0.64	-0.0072
49.08	0.64	-0.0072
49.12	0.72	-0.0072
49.16	0.72	-0.0072
49.2	0.64	-0.0064
49.24	0.72	-0.0056
49.28	0.8	-0.0064
49.32	0.72	-0.0064
49.36	0.8	-0.0072
49.4	0.72	-0.0064
49.44	0.72	-0.0056
49.48	0.64	-0.0056
49.52	0.8	-0.0064
49.56	0.72	-0.0064
49.6	0.72	-0.0048
49.64	0.72	-0.0056
49.68	0.72	-0.0048
49.72	0.72	-0.0056
49.76	0.88	-0.0032
49.8	0.72	-0.0048
49.84	0.72	-0.0048
49.88	0.72	-0.0048
49.92	0.8	-0.0056
49.96	0.8	-0.004
50	0.88	-0.004
50.04	0.72	-0.0032
50.08	0.88	-0.0032
50.12	0.88	-0.0032
50.16	0.88	-0.0024
50.2	0.8	-0.004
50.24	0.8	-0.0024
50.28	0.8	-0.0032
50.32	0.8	-0.0016
50.36	0.8	-0.0024
50.4	0.88	-0.0024
50.44	0.88	-0.0016
50.48	0.88	-0.0032
50.52	0.88	-0.0016
50.56	0.88	-0.0016
50.6	0.8	-8E-4
50.64	0.88	-0.0016
50.68	0.8	-8E-4
50.72	0.88	-8E-4
50.76	0.8	-8E-4
50.8	0.8	8E-4
50.84	0.8	-8E-4
50.88	0.88	0
50.92	0.88	8E-4
50.96	0.88	0
51	0.96	8E-4
51.04	0.96	0.0016
51.08	0.8	0.0016
51.12	0.8	8E-4
51.16	0.96	0.0016
51.2	0.8	8E-4
51.24	0.96	0.0024
51.28	0.88	0.0024
51.32	0.88	0.0016
51.36	0.8	0.0032
51.4	0.8	0.0016
51.44	0.88	0.0024
51.48	0.8	0.0024
51.52	0.8	0.0024
51.56	0.88	0.0032
51.6	0.72	0.004
51.64	0.96	0.004
51.68	0.8	0.0032
51.72	0.8	0.0032
51.76	0.8	0.004
51.8	0.8	0.004
51.84	0.88	0.0048
51.88	0.72	0.0048
51.92	0.72	0.004
51.96	0.72	0.004
52	0.72	0.0048
52.04	0.72	0.0048
52.08	0.72	0.004
52.12	0.64	0.0056
52.16	0.64	0.0048
52.2	0.64	0.0056
52.24	0.64	0.0048
52.28	0.64	0.0056
52.32	0.72	0.0056
52.36	0.72	0.0048
52.4	0.64	0.0064
52.44	0.64	0.0064
52.48	0.64	0.0064
52.52	0.64	0.0072
52.56	0.64	0.0056
52.6	0.64	0.0072
52.64	0.64	0.0064
52.68	0.56	0.008
52.72	0.56	0.0064
52.76	0.56	0.0056
52.8	0.56	0.0072
52.84	0.56	0.0064
52.88	0.56	0.008
52.92	0.48	0.0072
52.96	0.56	0.0072
53	0.56	0.0072
53.04	0.56	0.0072
53.08	0.4	0.0072
53.12	0.48	0.008
53.16	0.4	0.0088
53.2	0.48	0.0072
53.24	0.48	0.008
53.28	0.4	0.0072
53.32	0.48	0.0072
53.36	0.48	0.008
53.4	0.4	0.0072
53.44	0.32	0.008
53.48	0.32	0.0072
53.52	0.48	0.008
53.56	0.24	0.0072
53.6	0.24	0.0088
53.64	0.32	0.0072
53.68	0.24	0.008
53.72	0.24	0.0096
53.76	0.24	0.008
53.8	0.16	0.0088
53.84	0.16	0.0088
53.88	0.24	0.008
53.92	0.16	0.0088
53.96	0.24	0.0104
54	0.08	0.0088
54.04	0.16	0.0088
54.08	0.16	0.0088
54.12	0.08	0.0088
54.16	0	0.008
54.2	0.08	0.0096
54.24	0.08	0.008
54.28	0.08	0.0096
54.32	0	0.0088
54.36	0.08	0.0088
54.4	0.08	0.008
54.44	0	0.0072
54.48	-0.08	0.0088
54.52	-0.08	0.008
54.56	0	0.0088
54.6	-0.08	0.0088
54.64	-0.16	0.008
54.68	-0.08	0.0096
54.72	-0.08	0.008
54.76	-0.08	0.0096
54.8	-0.08	0.008
54.84	-0.16	0.008
54.88	-0.08	0.008
54.92	-0.32	0.0072
54.96	-0.08	0.008
55	-0.16	0.008
55.04	-0.24	0.0088
55.08	-0.16	0.0072
55.12	-0.24	0.0072
55.16	-0.24	0.0072
55.2	-0.24	0.008
55.24	-0.16	0.008
55.28	-0.24	0.0072
55.32	-0.32	0.008
55.36	-0.24	0.0064
55.4	-0.32	0.0072
55.44	-0.32	0.0064
55.48	-0.4	0.0072
55.52	-0.4	0.008
55.56	-0.4	0.0072
55.6	-0.24	0.008
55.64	-0.4	0.0064
55.68	-0.32	0.0056
55.72	-0.4	0.0056
55.76	-0.4	0.0056
55.8	-0.48	0.0072
55.84	-0.4	0.0072
55.88	-0.56	0.0056
55.92	-0.4	0.0056
55.96	-0.48	0.0056
56	-0.48	0.0048
56.04	-0.48	0.0048
56.08	-0.56	0.0056
