	V	I
	kv	A
-15.72	-0.24	0.004
-15.68	-0.16	0.0032
-15.64	-0.24	0.0024
-15.6	-0.16	0.0024
-15.56	-0.32	0.0024
-15.52	-0.32	0.0016
-15.48	-0.32	0.0032
-15.44	-0.32	0.0024
-15.4	-0.32	0.0016
-15.36	-0.24	0.0016
-15.32	-0.32	0.0016
-15.28	-0.32	0.0016
-15.24	-0.16	0.0016
-15.2	-0.32	0.0016
-15.16	-0.32	0.0016
-15.12	-0.32	0.0016
-15.08	-0.4	0.0016
-15.04	-0.32	0.0024
-15	-0.4	8E-4
-14.96	-0.24	0.0016
-14.92	-0.4	0.0024
-14.88	-0.32	8E-4
-14.84	-0.4	8E-4
-14.8	-0.32	0.0016
-14.76	-0.32	0
-14.72	-0.4	0.0016
-14.68	-0.32	8E-4
-14.64	-0.32	0.0024
-14.6	-0.32	8E-4
-14.56	-0.32	8E-4
-14.52	-0.32	0
-14.48	-0.32	0
-14.44	-0.32	0.0016
-14.4	-0.4	0
-14.36	-0.32	-8E-4
-14.32	-0.24	0
-14.28	-0.4	0
-14.24	-0.4	-8E-4
-14.2	-0.4	0
-14.16	-0.32	0
-14.12	-0.4	0
-14.08	-0.4	0
-14.04	-0.4	-8E-4
-14	-0.24	-8E-4
-13.96	-0.32	-0.0016
-13.92	-0.32	-0.0016
-13.88	-0.4	-8E-4
-13.84	-0.32	-8E-4
-13.8	-0.32	-0.0016
-13.76	-0.32	-0.0016
-13.72	-0.32	-0.0024
-13.68	-0.4	-0.0016
-13.64	-0.4	-0.0024
-13.6	-0.4	-8E-4
-13.56	-0.24	-0.0016
-13.52	-0.32	-0.0016
-13.48	-0.4	-0.0024
-13.44	-0.4	-0.0024
-13.4	-0.32	-0.0016
-13.36	-0.32	-0.0016
-13.32	-0.32	-0.0016
-13.28	-0.32	-0.0032
-13.24	-0.32	-0.0032
-13.2	-0.4	-0.0016
-13.16	-0.32	-0.004
-13.12	-0.4	-0.0016
-13.08	-0.4	-0.0032
-13.04	-0.32	-0.0016
-13	-0.24	-0.0032
-12.96	-0.32	-0.0032
-12.92	-0.32	-0.0032
-12.88	-0.32	-0.0048
-12.84	-0.32	-0.0024
-12.8	-0.32	-0.0032
-12.76	-0.32	-0.0032
-12.72	-0.32	-0.004
-12.68	-0.32	-0.004
-12.64	-0.32	-0.004
-12.6	-0.24	-0.004
-12.56	-0.24	-0.0024
-12.52	-0.24	-0.004
-12.48	-0.24	-0.0048
-12.44	-0.32	-0.0048
-12.4	-0.16	-0.0048
-12.36	-0.16	-0.004
-12.32	-0.16	-0.0032
-12.28	-0.32	-0.004
-12.24	-0.24	-0.0048
-12.2	-0.16	-0.004
-12.16	-0.16	-0.004
-12.12	-0.16	-0.004
-12.08	-0.24	-0.004
-12.04	-0.16	-0.0048
-12	-0.24	-0.004
-11.96	-0.16	-0.0048
-11.92	-0.08	-0.0056
-11.88	-0.16	-0.0056
-11.84	-0.08	-0.0048
-11.8	-0.24	-0.0032
-11.76	-0.08	-0.0048
-11.72	0	-0.004
-11.68	-0.16	-0.0048
-11.64	-0.08	-0.0048
-11.6	-0.08	-0.0056
-11.56	-0.16	-0.0056
-11.52	-0.16	-0.0048
-11.48	0	-0.004
-11.44	0	-0.0056
-11.4	-0.08	-0.0056
-11.36	-0.08	-0.0056
-11.32	-0.08	-0.0056
-11.28	0	-0.0048
-11.24	-0.08	-0.004
-11.2	-0.08	-0.0056
-11.16	-0.08	-0.0064
-11.12	0	-0.0056
-11.08	0.08	-0.0056
-11.04	0	-0.0056
-11	0.08	-0.0064
-10.96	0.08	-0.0056
-10.92	0.08	-0.0048
-10.88	0	-0.0064
-10.84	0	-0.0056
-10.8	0	-0.0064
-10.76	0	-0.0056
-10.72	0.08	-0.0056
-10.68	0	-0.0056
-10.64	0	-0.0056
-10.6	0.08	-0.0064
-10.56	0.08	-0.0056
-10.52	0.08	-0.0064
-10.48	0.16	-0.0048
-10.44	0.24	-0.0056
-10.4	0.16	-0.0064
-10.36	0.08	-0.0048
-10.32	0.16	-0.0064
-10.28	0.16	-0.0056
-10.24	0.16	-0.0048
-10.2	0.08	-0.0048
-10.16	0.16	-0.004
-10.12	0.08	-0.0056
-10.08	0.24	-0.0048
-10.04	0.08	-0.0048
-10	0.24	-0.0064
-9.96	0.24	-0.0048
-9.92	0.24	-0.0048
-9.88	0.16	-0.0064
-9.84	0.4	-0.0056
-9.8	0.16	-0.0056
-9.76	0.16	-0.0064
-9.72	0.24	-0.0056
-9.68	0.24	-0.0056
-9.64	0.24	-0.004
-9.6	0.24	-0.0056
-9.56	0.16	-0.0056
-9.52	0.24	-0.0048
-9.48	0.24	-0.0056
-9.44	0.24	-0.004
-9.4	0.32	-0.0048
-9.36	0.24	-0.004
-9.32	0.32	-0.0056
-9.28	0.32	-0.004
-9.24	0.32	-0.0048
-9.2	0.4	-0.0056
-9.16	0.4	-0.004
-9.12	0.32	-0.004
-9.08	0.24	-0.004
-9.04	0.32	-0.004
-9	0.4	-0.0048
-8.96	0.4	-0.0048
-8.92	0.32	-0.0048
-8.88	0.4	-0.0032
-8.84	0.4	-0.004
-8.8	0.32	-0.004
-8.76	0.4	-0.004
-8.72	0.32	-0.004
-8.68	0.48	-0.004
-8.64	0.4	-0.004
-8.6	0.4	-0.0024
-8.56	0.48	-0.004
-8.52	0.4	-0.004
-8.48	0.48	-0.004
-8.44	0.4	-0.004
-8.4	0.48	-0.004
-8.36	0.4	-0.0032
-8.32	0.4	-0.0016
-8.28	0.4	-0.0032
-8.24	0.48	-0.0032
-8.2	0.48	-0.0024
-8.16	0.48	-0.0024
-8.12	0.48	-0.0032
-8.08	0.56	-0.0032
-8.04	0.4	-0.0016
-8	0.4	-0.0032
-7.96	0.48	-0.0032
-7.92	0.48	-0.0024
-7.88	0.48	-0.0024
-7.84	0.48	-0.0016
-7.8	0.48	-0.0016
-7.76	0.56	-8E-4
-7.72	0.4	-0.0024
-7.68	0.48	-0.0016
-7.64	0.48	-0.0016
-7.6	0.48	-0.0016
-7.56	0.56	-0.0016
-7.52	0.56	-8E-4
-7.48	0.4	-0.0016
-7.44	0.48	-8E-4
-7.4	0.48	-0.0016
-7.36	0.56	-0.0016
-7.32	0.4	-8E-4
-7.28	0.48	0
-7.24	0.48	-8E-4
-7.2	0.4	0
-7.16	0.4	-8E-4
-7.12	0.48	-8E-4
-7.08	0.56	8E-4
-7.04	0.48	-8E-4
-7	0.48	8E-4
-6.96	0.48	0
-6.92	0.56	-8E-4
-6.88	0.4	0
-6.84	0.48	0
-6.8	0.48	8E-4
-6.76	0.4	8E-4
-6.72	0.48	8E-4
-6.68	0.48	0
-6.64	0.48	0
-6.6	0.48	0
-6.56	0.48	0
-6.52	0.4	0.0016
-6.48	0.56	0.0016
-6.44	0.48	8E-4
-6.4	0.48	8E-4
-6.36	0.56	8E-4
-6.32	0.4	0.0016
-6.28	0.48	0.0016
-6.24	0.48	0.0016
-6.2	0.4	0.0024
-6.16	0.4	0.0016
-6.12	0.32	0.0016
-6.08	0.48	0.0016
-6.04	0.48	0.0016
-6	0.32	0.0024
-5.96	0.48	0.0024
-5.92	0.48	0.0024
-5.88	0.48	0.0024
-5.84	0.4	0.0024
-5.8	0.48	0.0016
-5.76	0.4	0.0024
-5.72	0.4	0.0024
-5.68	0.4	0.0032
-5.64	0.4	0.0024
-5.6	0.4	0.0024
-5.56	0.4	0.0024
-5.52	0.4	0.0032
-5.48	0.48	0.0032
-5.44	0.4	0.0032
-5.4	0.4	0.004
-5.36	0.32	0.0032
-5.32	0.32	0.0032
-5.28	0.4	0.004
-5.24	0.24	0.0032
-5.2	0.24	0.0032
-5.16	0.4	0.0032
-5.12	0.24	0.004
-5.08	0.32	0.0032
-5.04	0.4	0.0024
-5	0.32	0.0032
-4.96	0.24	0.0032
-4.92	0.32	0.004
-4.88	0.24	0.0032
-4.84	0.24	0.004
-4.8	0.32	0.004
-4.76	0.24	0.004
-4.72	0.16	0.0048
-4.68	0.24	0.004
-4.64	0.24	0.0048
-4.6	0.24	0.004
-4.56	0.32	0.004
-4.52	0.24	0.004
-4.48	0.24	0.0032
-4.44	0.32	0.0032
-4.4	0.24	0.0048
-4.36	0.16	0.0048
-4.32	0.16	0.0048
-4.28	0.24	0.004
-4.24	0.16	0.0048
-4.2	0.24	0.004
-4.16	0.24	0.0048
-4.12	0.24	0.004
-4.08	0.08	0.0056
-4.04	0.16	0.004
-4	0.08	0.004
-3.96	0.08	0.0048
-3.92	0.08	0.0032
-3.88	0.08	0.0056
-3.84	0.08	0.004
-3.8	0.24	0.0048
-3.76	0	0.0032
-3.72	0	0.0048
-3.68	0	0.0056
-3.64	0.16	0.004
-3.6	0	0.0048
-3.56	-0.08	0.0048
-3.52	0	0.004
-3.48	0	0.0064
-3.44	-0.08	0.008
-3.4	-0.08	0.0112
-3.36	0	0.0128
-3.32	-0.16	0.0152
-3.28	-0.16	0.0184
-3.24	-0.16	0.0192
-3.2	-0.16	0.0216
-3.16	-0.24	0.0232
-3.12	-0.32	0.0272
-3.08	-0.24	0.0272
-3.04	-0.4	0.0312
-3	-0.4	0.032
-2.96	-0.4	0.0336
-2.92	-0.4	0.0352
-2.88	-0.56	0.0368
-2.84	-0.56	0.0392
-2.8	-0.64	0.0408
-2.76	-0.72	0.0424
-2.72	-0.72	0.0432
-2.68	-0.88	0.044
-2.64	-0.88	0.0456
-2.6	-0.88	0.0456
-2.56	-1.04	0.0472
-2.52	-1.04	0.048
-2.48	-1.2	0.048
-2.44	-1.2	0.0488
-2.4	-1.28	0.0504
-2.36	-1.44	0.056
-2.32	-1.28	0.0864
-2.28	-1.36	0.0592
-2.24	-1.36	0.0544
-2.2	-1.52	0.052
-2.16	-1.52	0.0504
-2.12	-1.6	0.0536
-2.08	-1.6	0.0576
-2.04	-1.68	0.0696
-2	-1.6	0.0544
-1.96	-1.68	0.0608
-1.92	-1.68	0.0632
-1.88	-1.76	0.0656
-1.84	-1.68	0.072
-1.8	-1.84	0.0712
-1.76	-1.84	0.0424
-1.72	-1.92	0.0344
-1.68	-2	0.0528
-1.64	-1.92	0.0728
-1.6	-2.16	0.0776
-1.56	-2.24	0.0624
-1.52	-2.24	0.0472
-1.48	-2.24	0.0448
-1.44	-2.24	0.0648
-1.4	-2.24	0.064
-1.36	-2.4	0.0536
-1.32	-2.56	0.0504
-1.28	-2.48	0.0528
-1.24	-2.56	0.0456
-1.2	-2.4	0.0632
-1.16	-2.32	0.0544
-1.12	-2.48	0.0488
-1.08	-2.48	0.048
-1.04	-2.56	0.0504
-1	-2.72	0.0496
-0.96	-2.64	0.0624
-0.92	-2.8	0.06
-0.88	-2.8	0.0496
-0.84	-2.8	0.0384
-0.8	-2.88	0.0344
-0.76	-2.8	0.0392
-0.72	-2.88	0.0456
-0.68	-2.96	0.0528
-0.64	-2.96	0.0616
-0.6	-2.88	0.0712
-0.56	-2.96	0.0112
-0.52	-3.04	-0.0088
-0.48	-2.88	0.02
-0.44	-2.96	0.0592
-0.4	-2.96	0.0704
-0.36	-3.2	0.0488
-0.32	-3.12	0.0128
-0.28	-3.2	0.0032
-0.24	-2.96	0.0312
-0.2	-2.96	0.0504
-0.16	-3.2	0.04
-0.12	-3.28	0.0256
-0.08	-3.2	0.012
-0.04	-3.12	0.0136
0	-3.2	0.016
0.04	-3.12	0.02
0.08	-3.28	0.0216
0.12	-3.28	0.0176
0.16	-3.36	0.0152
0.2	-3.44	0.0088
0.24	-3.28	0.008
0.28	-3.36	0.008
0.32	-3.28	0.0088
0.36	-3.28	0.0104
0.4	-3.36	0.0072
0.44	-3.36	0.0024
0.48	-3.36	0
0.52	-3.36	-8E-4
0.56	-3.36	8E-4
0.6	-3.36	8E-4
0.64	-3.36	-8E-4
0.68	-3.36	-0.0064
0.72	-3.28	-0.008
0.76	-3.36	-0.0096
0.8	-3.28	-0.0088
0.84	-3.28	-0.0096
0.88	-3.36	-0.0112
0.92	-3.36	-0.0128
0.96	-3.12	-0.016
1	-3.2	-0.0168
1.04	-3.12	-0.0168
1.08	-3.04	-0.0184
1.12	-3.04	-0.0184
1.16	-3.04	-0.0208
1.2	-2.96	-0.0208
1.24	-3.04	-0.024
1.28	-2.96	-0.024
1.32	-2.96	-0.024
1.36	-2.88	-0.0256
1.4	-2.8	-0.0256
1.44	-2.72	-0.0272
1.48	-2.8	-0.0288
1.52	-2.64	-0.0272
1.56	-2.56	-0.0296
1.6	-2.72	-0.0304
1.64	-2.48	-0.0304
1.68	-2.56	-0.0296
1.72	-2.48	-0.0304
1.76	-2.48	-0.0312
1.8	-2.48	-0.0312
1.84	-2.32	-0.0328
1.88	-2.32	-0.0328
1.92	-2.24	-0.0328
1.96	-2.24	-0.032
2	-2.08	-0.0336
2.04	-2.08	-0.0328
2.08	-2	-0.0336
2.12	-2	-0.0344
2.16	-1.92	-0.0328
2.2	-1.92	-0.0328
2.24	-1.84	-0.0312
2.28	-1.68	-0.032
2.32	-1.76	-0.0336
2.36	-1.76	-0.0312
2.4	-1.6	-0.0312
2.44	-1.44	-0.0304
2.48	-1.44	-0.0296
2.52	-1.52	-0.028
2.56	-1.36	-0.0296
2.6	-1.36	-0.028
2.64	-1.44	-0.0272
2.68	-1.36	-0.0272
2.72	-1.36	-0.0256
2.76	-1.2	-0.0256
2.8	-1.2	-0.024
2.84	-1.2	-0.024
2.88	-1.04	-0.0232
2.92	-1.12	-0.0216
2.96	-1.12	-0.0216
3	-0.96	-0.02
3.04	-0.96	-0.0192
3.08	-1.04	-0.0192
3.12	-1.04	-0.0184
3.16	-1.04	-0.0248
3.2	-0.88	-0.0256
3.24	-0.8	-0.028
3.28	-0.72	-0.0352
3.32	-0.8	-0.0392
3.36	-0.64	-0.0464
3.4	-0.72	-0.0416
3.44	-0.48	-0.0472
3.48	-0.4	-0.0464
3.52	-0.32	-0.0544
3.56	-0.32	-0.0576
3.6	-0.24	-0.0592
3.64	-0.08	-0.0616
3.68	0	-0.0616
3.72	0.08	-0.0616
3.76	0.08	-0.0616
3.8	0.24	-0.0616
3.84	0.24	-0.0616
3.88	0.32	-0.0616
3.92	0.56	-0.0616
3.96	0.64	-0.0616
4	0.8	-0.0616
4.04	0.72	-0.0616
4.08	0.88	-0.0616
4.12	0.96	-0.0616
4.16	0.88	-0.0616
4.2	0.96	-0.0616
4.24	0.96	-0.0616
4.28	1.04	-0.0616
4.32	1.36	-0.0616
4.36	1.36	-0.0616
4.4	1.36	-0.0616
4.44	1.36	-0.0616
4.48	1.36	-0.0616
4.52	1.52	-0.0616
4.56	1.52	-0.0616
4.6	1.52	-0.0616
4.64	1.6	-0.0616
4.68	1.68	-0.056
4.72	1.6	-0.056
4.76	1.84	-0.0616
4.8	1.92	-0.0616
4.84	2	-0.0616
4.88	2.08	-0.0616
4.92	2.16	-0.0616
4.96	2.16	-0.0608
5	2.08	-0.0608
5.04	2.16	-0.0616
5.08	2.24	-0.0616
5.12	2.4	-0.0616
5.16	2.4	-0.0616
5.2	2.56	-0.06
5.24	2.48	-0.0616
5.28	2.48	-0.0616
5.32	2.72	-0.0616
5.36	2.56	-0.0616
5.4	2.64	-0.0552
5.44	2.64	-0.0568
5.48	2.72	-0.0616
5.52	2.8	-0.0616
5.56	2.8	-0.0608
5.6	2.96	-0.0576
5.64	2.96	-0.056
5.68	2.96	-0.0504
