Decimated X1	Decimated Y1
	Dezimation von "Ampl"
1.43999673E-5	75.9277
1.44999673E-5	200.439
1.45999673E-5	337.891
1.46999673E-5	500.977
1.47999673E-5	604.736
1.48999673E-5	720.703
1.49999673E-5	836.426
1.50999673E-5	913.818
1.51999673E-5	989.014
1.52999673E-5	1044.43
1.53999673E-5	1105.22
1.54999673E-5	1104
1.55999673E-5	1129.39
1.56999673E-5	1111.57
1.57999673E-5	1073.73
1.58999673E-5	1023.93
1.59999673E-5	985.84
1.60999673E-5	893.311
1.61999673E-5	825.684
1.62999673E-5	744.141
1.63999673E-5	634.521
1.64999673E-5	502.686
1.65999673E-5	365.967
1.66999673E-5	285.156
1.67999673E-5	163.086
1.68999673E-5	28.0762
1.69999673E-5	-113.525
1.70999673E-5	-250.488
1.71999673E-5	-385.01
1.72999673E-5	-471.191
1.73999673E-5	-584.961
1.74999673E-5	-664.551
1.75999673E-5	-784.668
1.76999673E-5	-837.646
1.77999673E-5	-904.297
1.78999673E-5	-955.566
1.79999673E-5	-1005.37
1.80999673E-5	-1014.4
1.81999673E-5	-1039.55
1.82999673E-5	-986.328
1.83999673E-5	-980.957
1.84999673E-5	-938.477
1.85999673E-5	-874.023
1.86999673E-5	-773.438
1.87999673E-5	-726.563
1.88999673E-5	-616.211
1.89999673E-5	-552.246
1.90999673E-5	-431.641
1.91999673E-5	-363.037
1.92999673E-5	-224.854
1.93999673E-5	-123.779
1.94999673E-5	-10.2539
1.95999673E-5	126.221
1.96999673E-5	207.031
1.97999673E-5	314.697
1.98999673E-5	429.932
1.99999673E-5	501.953
2.00999673E-5	576.416
2.01999673E-5	680.908
2.02999673E-5	722.9
2.03999673E-5	765.625
2.04999673E-5	816.895
2.05999673E-5	816.65
2.06999673E-5	825.928
2.07999673E-5	824.463
2.08999673E-5	817.871
2.09999673E-5	796.631
2.10999673E-5	733.154
2.11999673E-5	681.885
2.12999673E-5	595.459
2.13999673E-5	544.189
2.14999673E-5	494.385
2.15999673E-5	377.197
2.16999673E-5	322.021
2.17999673E-5	233.398
2.18999673E-5	115.967
2.19999673E-5	-8.05664
2.20999673E-5	-74.2188
2.21999673E-5	-177.734
2.22999673E-5	-279.297
2.23999673E-5	-355.713
2.24999673E-5	-439.941
2.25999673E-5	-530.762
2.26999673E-5	-586.182
2.27999673E-5	-656.982
2.28999673E-5	-687.744
2.29999673E-5	-736.816
2.30999673E-5	-746.338
2.31999673E-5	-762.939
