Decimated X1	Decimated Y1
	Dezimation von "Ampl"
1.439998829E-5	0.0066366211
1.449998829E-5	0.0064045898
1.459998829E-5	0.0062819824
1.469998829E-5	0.0063584473
1.479998829E-5	0.0062068359
1.489998829E-5	0.0061303711
1.499998829E-5	0.0057467285
1.509998829E-5	0.0054158203
1.519998829E-5	0.0049148437
1.529998829E-5	0.004321582
1.539998829E-5	0.0039498047
1.549998829E-5	0.0035490234
1.559998829E-5	0.0028489746
1.569998829E-5	0.0022253906
1.579998829E-5	0.0014541504
1.589998829E-5	8.4506836E-4
1.599998829E-5	1.4238281E-4
1.609998829E-5	-4.9833984E-4
1.619998829E-5	-0.0016255371
1.629998829E-5	-0.0023361328
1.639998829E-5	-0.0029755371
1.649998829E-5	-0.0037111816
1.659998829E-5	-0.0039353027
1.669998829E-5	-0.0041831543
1.679998829E-5	-0.0044520996
1.689998829E-5	-0.0044890137
1.699998829E-5	-0.0046946777
1.709998829E-5	-0.0046894043
1.719998829E-5	-0.004659082
1.729998829E-5	-0.0042583008
1.739998829E-5	-0.0044929688
1.749998829E-5	-0.0041976562
1.759998829E-5	-0.0038575195
1.769998829E-5	-0.0036782227
1.779998829E-5	-0.0032167969
1.789998829E-5	-0.0029649902
1.799998829E-5	-0.002226709
1.809998829E-5	-0.0021726563
1.819998829E-5	-0.0015873047
1.829998829E-5	-0.0010480957
1.839998829E-5	-8.6748047E-4
1.849998829E-5	-3.0585938E-4
1.859998829E-5	1.9379883E-4
1.869998829E-5	7.1455078E-4
1.879998829E-5	0.0013038574
1.889998829E-5	0.0021489258
1.899998829E-5	0.002685498
1.909998829E-5	0.003375
1.919998829E-5	0.0035279297
1.929998829E-5	0.0038258789
1.939998829E-5	0.0038179688
1.949998829E-5	0.0041211914
1.959998829E-5	0.0041923828
1.969998829E-5	0.0043268555
1.979998829E-5	0.0042991699
1.989998829E-5	0.0041211914
1.999998829E-5	0.0039827637
2.009998829E-5	0.0038548828
2.019998829E-5	0.0035477051
2.029998829E-5	0.00354375
2.039998829E-5	0.0031126465
2.049998829E-5	0.0026723145
2.059998829E-5	0.002292627
2.069998829E-5	0.0020988281
2.079998829E-5	0.0014277832
2.089998829E-5	0.0010942383
2.099998829E-5	6.3544922E-4
2.109998829E-5	-3.0322266E-5
2.119998829E-5	-3.4672852E-4
2.129998829E-5	-9.8876953E-4
2.139998829E-5	-0.0015134766
2.149998829E-5	-0.0017547363
2.159998829E-5	-0.002212207
2.169998829E-5	-0.0023374512
2.179998829E-5	-0.002667041
2.189998829E-5	-0.0027593262
2.199998829E-5	-0.0030216797
2.209998829E-5	-0.0031020996
2.219998829E-5	-0.0031812012
2.229998829E-5	-0.0029702637
2.239998829E-5	-0.0029913574
2.249998829E-5	-0.0029939941
2.259998829E-5	-0.002685498
2.269998829E-5	-0.0026683594
2.279998829E-5	-0.002347998
2.289998829E-5	-0.0021120117
2.299998829E-5	-0.0018364746
2.309998829E-5	-0.0015292969
2.319998829E-5	-0.0012432129
2.329998829E-5	-9.9536133E-4
2.339998829E-5	-6.5126953E-4
2.349998829E-5	-2.465332E-4
2.359998829E-5	2.7685547E-4
2.369998829E-5	5.5766602E-4
2.379998829E-5	7.4619141E-4
2.389998829E-5	0.001115332
2.399998829E-5	0.0014027344
2.409998829E-5	0.0018364746
2.419998829E-5	0.0021818848
2.429998829E-5	0.0025562988
2.439998829E-5	0.0024824707
